,estimate,se,z-score,p-value,ci_0.025,ci_0.975,I^2,p(Q),p_fdr
7Networks_RH_Vis_6,0.04473916435007988,0.025245278560825465,1.772179468817753,0.07636477060912283,-0.004740672408819202,0.09421900110897896,0.0,0.8923214355804697,0.12316898485342392
7Networks_RH_Vis_7,0.043690367888683565,0.02913377013677259,1.4996468937447154,0.13370589370965313,-0.013410772313259274,0.1007915080906264,24.34138918226322,0.23506046742967926,0.19956103538754197
7Networks_RH_Vis_8,0.018178014377079672,0.025353169267005506,0.7169917963959028,0.4733791585531657,-0.03151328428019888,0.06786931303435823,0.0,0.9466388748284903,0.5844187142631675
7Networks_RH_SomMot_1,-0.10020877647433118,0.02520551166555893,-3.9756692029885463,7.018162367244951e-05,-0.14961067155073088,-0.05080688139793149,0.0,0.5155220103419789,0.00020051892477842718
7Networks_RH_SomMot_2,0.0052202233679827965,0.03667775641463825,0.14232668184413216,0.8868219719910073,-0.06666685823844112,0.07710730497440671,52.51125398612021,0.03947578702151424,0.933496812622113
7Networks_RH_SomMot_3,0.035508200498434395,0.04533522477948047,0.7832364496074152,0.4334882742013675,-0.053347207300375135,0.12436360829724392,69.4709521597928,0.001753830642919187,0.5557541976940609
7Networks_RH_SomMot_4,0.01722808833308152,0.05531059813723323,0.31147897352938136,0.755436525123552,-0.0911786919792638,0.12563486864542683,79.95919023466784,1.1534699143012283e-05,0.829362153931105
7Networks_RH_SomMot_5,-0.08141386348688533,0.05081434580823925,-1.602182655152564,0.10911522441658161,-0.18100815116899813,0.018180424195227474,75.95622037420539,0.00013794783455396172,0.17049253815090876
7Networks_RH_SomMot_6,0.04982649170389657,0.025354804468403297,1.9651696295268002,0.049394607794644996,0.0001319881107708712,0.09952099529702227,0.0,0.578530532933359,0.08371967422821186
7Networks_RH_SomMot_7,-0.05228895646249342,0.047965943310763565,-1.0901267201964893,0.27565732747828053,-0.14630047783607994,0.04172256491109309,72.6873459904807,0.0005865611866103998,0.3776127773675076
7Networks_RH_SomMot_8,0.0980838436641913,0.03802960493749016,2.5791444277534095,0.009904536657118435,0.023547187640423975,0.17262049968795862,56.58149104856528,0.02402345426970268,0.019420660111996932
7Networks_RH_DorsAttn_Post_1,-0.14017551317695076,0.033656800507842914,-4.164849631036265,3.1155783790426383e-05,-0.20614163000717228,-0.07420939634672925,45.45956248872427,0.07624456357676299,0.00010050252835621413
7Networks_RH_DorsAttn_Post_2,0.03534554912720479,0.04911813446381399,0.7196028414565367,0.4717695620342295,-0.060924225409666216,0.1316153236640758,74.03773624535847,0.000338539933444796,0.5844187142631675
7Networks_RH_DorsAttn_Post_3,-0.1981961344626182,0.027369693001316062,-7.241445289616073,4.439781875476001e-13,-0.2518397470131156,-0.14455252191212073,19.43995746805214,0.2757491941501375,6.342545536394286e-12
7Networks_RH_DorsAttn_Post_4,-0.10445887442005186,0.030574070981745725,-3.416583760874341,0.0006341215305950554,-0.16438295240504466,-0.04453479643505907,32.96970352818709,0.16482578260030126,0.0015098131680834652
7Networks_RH_DorsAttn_Post_5,-0.021827579163339546,0.040096865631766086,-0.5443712075600993,0.5861860549483077,-0.10041599169454296,0.05676083336786386,60.71685843210575,0.012812201318139524,0.6816116918003577
7Networks_RH_DorsAttn_PrCv_1,-0.09586281859812178,0.025133344962376392,-3.8141687364584604,0.00013664208689312396,-0.1451232695354007,-0.04660236766084285,0.0,0.48055353524985434,0.00035437478564993884
7Networks_RH_DorsAttn_FEF_1,0.00016862143158722634,0.04615188653985194,0.003653619477540155,0.9970848399135375,-0.09028741400510146,0.09062465686827592,70.85928823578567,0.0011295357926674608,0.9970848399135375
